ref_no,hist_ref_no
45713,41186
45714,41104
45803,6347
45837,41786
45863,37918
45873,41780
45877,25911
45891,41367
45901,45776
45907,42094
45921,43404
46010,42103
46146,45081
46154,45203
46177,31541
46220,14032
46227,16758
46250,39923
46315,6959
46332,39892
46365,23248
46370,42047
46580,39704
46596,5467
46616,40266
46666,39899
46725,46170
46780,40844
46783,40625
46866,40627
46908,40450
46968,42905
47016,41599
47022,18105
47067,41489
47143,44760
47210,44436
47299,46174
47304,46179
47362,47232
47369,45372
47384,46600
47400,45261
47501,40490
47712,40180
47752,42769
47775,47774
47889,42712
47891,43761
47914,7479
47967,43770
47995,42737
48007,42720
48073,43760
48109,47366
48122,44543
48138,44903
48301,41700
48543,47169
48573,47176
48617,45575
48709,46466
48810,47332
48845,46500
48848,45617
48882,45893
48940,47793
49104,40447
49271,47678
49280,47831
49343,48535
49387,47041
50196,44762
50303,49349
50452,47077
50470,49330
50512,47602
50528,50526
50648,50647
50789,50375
50847,50846
50851,50850
50877,50876
50885,50884
50919,50918
50937,50936
50973,39396
51048,51047
51067,41422
51226,42161
51399,39677
51443,39506
51498,51497
51538,51537
51561,51349
52092,47386
236,50134
697,48385
1488,24110
13801,48395
23162,49935
40097,49881
40825,40824
40926,35920
40987,11883
41203,24945
41679,14056
42075,41854
42237,50788
42570,22844
42837,42055
42978,42382
42989,42392
43016,43512
43063,13545
43162,32326
43319,43130
43350,43161
43448,42802
43459,42808
43556,16590
43589,39001
43627,2738
43719,40321
43730,40318
43745,42085
43786,43261
43835,39453
43874,50814
43951,39399
44109,42160
44172,52196
44291,849
44320,19637
44331,39740
44458,40732
44491,43467
44572,43200
44668,42295
44805,42642
44865,40564
44880,40572
45017,41542
45059,41900
45090,41934
45115,41709
45271,44659
45275,40756
45333,8186
45506,42525
45560,42075
45641,41838
45657,39227
45692,41133
45763,41216
45849,41018
45851,41789
45948,43421
45963,43432
46215,40231
46216,40232
46329,13764
46344,42038
46449,42591
46455,40401
46508,41250
46526,36391
46826,40619
46839,40867
46944,41554
47080,41588
47349,47246
47578,43605
47666,41964
47782,47161
47947,13761
47977,42717
48511,46421
48524,48376
48587,46436
48588,45569
48618,45576
48694,46463
48768,47327
48851,45891
48871,46509
48889,46515
49101,46288
49117,46604
49243,42921
49610,45206
49717,17587
49722,49247
49851,48960
50112,45443
50301,50307
50468,47083
50632,39580
50634,50633
50839,51412
50846,50368
50848,50847
50873,43945
50878,50867
50920,44087
50980,50979
51006,51005
51014,51013
51061,10169
51095,42165
51193,12131
51211,42180
51242,43853
51339,51338
51346,39857
51349,51348
51369,51368
51407,51406
51422,42195
51439,50511
51455,39545
51467,39567
51503,41471
51535,39673
51572,51516
52212,49851
4242,49954
10850,49418
16618,48454
26190,49906
40382,9927
40748,38950
41416,40900
41437,50669
41524,23354
41537,39117
41692,6771
42254,42242
42819,26096
43034,42957
43060,28241
43072,40937
43104,40308
43422,42791
43577,29060
43580,29236
43724,40316
43922,43921
43952,40373
43964,13926
44121,42952
44226,44225
44316,14148
44453,40726
44530,39763
44740,21063
44757,41636
44774,41637
44779,42951
44812,43688
44832,40549
44852,44286
45043,41878
45191,39803
45274,43796
45638,42443
45651,41845
45725,41191
45729,41193
45888,41373
45929,43408
45969,43434
46042,43300
46054,43315
46139,41809
46310,42028
46348,40020
46406,40861
46411,46333
46542,44637
46592,40790
46594,4235
46613,40798
46679,39908
46744,32081
46765,40618
46815,23415
46847,37063
47050,40397
47056,40417
47279,39421
47291,40274
47339,45521
47354,47261
47361,13127
47373,45405
47444,44827
47504,47045
47601,40782
47652,45980
47691,42756
47758,40190
47769,43502
47796,41051
47828,31233
47892,43746
47964,41680
48039,43776
48043,41687
48149,21364
48159,5226
48293,47634
48330,45483
48492,47312
48536,45560
48674,47206
48767,47228
48920,46527
48967,45069
49193,47992
49246,46113
49276,47739
49580,40448
49633,44540
49636,44629
49645,49205
49673,46364
49745,49744
49786,49556
50064,48098
50070,24238
50131,46280
50186,43018
50306,47048
50446,50447
50446,50454
50507,47677
50576,50575
50776,50775
51085,51084
51099,42189
51121,51120
51145,51144
51159,51158
51179,51178
51180,44209
51189,51188
51268,51267
51294,51293
51340,44095
51370,39623
51485,39618
52098,51570
428,50261
11051,49945
20481,49406
35923,50135
40372,38905
40916,32846
40931,36971
41657,15036
42192,50714
42241,50763
42249,39927
42307,38974
42321,15606
42329,26968
42421,17624
42882,49969
42976,42919
43021,48424
43037,40976
43180,24053
43181,40895
43200,38959
43289,43101
43465,41923
43504,36830
43552,40616
43559,38983
43625,43624
43701,40884
43767,40133
43805,40332
43949,50890
43957,42832
44071,51226
44312,9916
44472,42834
44518,43330
44518,43369
44604,43557
44658,43486
44683,43656
44693,41629
44769,31477
44786,42667
44794,42703
44816,39353
44828,42669
44941,15183
44953,41544
44958,42124
44969,41531
44984,41523
45055,41892
45056,41894
45080,43465
45138,41724
45140,12825
45195,41756
45378,41037
45400,41043
45458,44033
45469,43996
45477,44000
45700,41181
45726,41192
45747,41207
46008,43464
46085,43347
46140,41799
46186,39874
46200,40229
46277,36989
46403,44281
46491,42599
46517,41245
46561,46560
46627,40037
46730,39896
46754,575
46856,41148
46930,40854
47078,42579
47093,41593
47176,44417
47293,40807
47326,44448
47429,44797
47690,41973
47804,41072
47877,45824
47946,43767
47957,41404
47972,40092
47974,41405
47976,41694
47978,42820
48065,40087
48092,40162
48503,46416
48585,47185
48642,46445
48788,45844
48875,45649
48922,47254
48975,45256
49171,47427
49176,47463
49178,47926
49249,48325
49286,48977
49376,46871
49802,48543
49865,46024
50119,48789
50230,45509
50245,49823
50298,46809
50318,49828
50391,44654
50702,50701
50708,50707
50738,50737
50806,50805
51208,51207
51350,39604
51478,39600
52142,49817
39541,50887
40289,2374
40610,40609
40677,24605
40715,38924
40875,1941
40937,38590
41509,17939
41726,39845
42082,40163
42089,40135
42172,50694
42244,39910
42834,40746
42835,42017
42880,49967
42891,49977
43155,40886
43202,38961
43278,43090
43330,43141
43352,43163
43364,43175
43405,11443
43446,42800
43484,11039
43546,38972
43587,40927
43718,40315
43721,40323
43893,42131
43909,50834
43955,40731
43980,40603
44093,5307
44133,29291
44230,11550
44314,41765
44543,42478
44700,43678
44715,43679
44888,44136
44970,41296
45125,41715
45152,41730
45230,12822
45292,35975
45504,45503
45682,41419
45812,13904
45864,41028
45952,42107
46148,45083
46166,5550
46198,39970
46209,39877
46243,39884
46346,39895
46368,42045
46376,39902
46683,40523
46723,46168
46726,40504
46832,29606
46931,40629
46960,41611
46966,22188
47065,41491
47071,42545
47204,44316
47217,39941
47252,44469
47269,45098
47297,46172
47408,44685
47655,43498
47744,40185
47897,4545
47954,14495
47961,43768
48020,42739
48031,41408
48074,34674
48163,45796
48291,47683
48365,44801
48533,47166
48546,47313
48569,46161
48634,45581
48643,45583
48712,48352
48883,46513
49163,47450
49179,48031
49213,46006
49248,46183
49366,46811
49559,49528
49562,49106
49676,49436
49726,45309
49789,48907
49825,45685
49832,48737
49835,49698
49847,46007
50021,41480
50026,41479
50058,44919
50256,49345
50287,45927
50301,49510
50450,47102
50469,47078
50553,43846
50615,50620
50647,39613
50819,50818
50833,43902
50849,50848
50887,50886
50939,50938
51072,39434
51466,51465
51492,39663
51500,51499
51534,51533
51993,42486
2324,2323
6045,17928
14561,43054
22396,50153
24245,48152
28846,50567
30878,50571
35289,50504
35837,49941
37148,52087
40279,641
40305,38903
40336,7441
40827,40826
40880,28217
41175,45245
41517,39112
41681,15449
41683,23076
42090,40136
42126,40591
42175,50697
42213,50762
42239,50790
42252,42058
42399,26122
42433,13210
42462,42322
42862,49952
42991,42394
43084,39789
43198,38957
43317,43128
43391,21620
43461,42810
43480,43481
43666,40648
43699,11364
43713,40323
43752,40138
43763,6694
43801,40827
43813,40821
43995,29548
44043,51400
44152,42052
44165,9201
44190,44188
44305,5820
44356,1594
44407,43988
44460,40734
44574,43202
44627,43574
44749,43652
44867,40566
44982,41524
45050,41886
45076,41919
45088,41932
45096,41896
45134,39774
45144,41887
45413,40914
45503,42911
45580,41841
45615,42996
